Date,Average_Price,Supply_Volume,Temperature,Precipitation,Wind_Speed,Air_Pressure,Rainfall_MM,USD_TO_NPR,Diesel,is_festival,imported_tomato_price,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,day,month,day_of_week,is_weekend,month_sin,month_cos
2022-01-01,115.0,0.0,9.0,0.0,4.7,1023.5,0.0,117.49,119.0,0,101.0,False,False,False,True,6.03,1,1,5,1,0.49999999999999994,0.8660254037844387
2022-01-02,115.0,8000.0,9.8,0.0,4.5,1022.3,0.0,117.49,119.0,0,115.0,False,False,False,True,6.03,2,1,6,1,0.49999999999999994,0.8660254037844387
2022-01-03,95.0,22375.0,10.0,0.0,5.3,1020.6,0.0,117.49,119.0,0,95.0,False,False,False,True,6.03,3,1,0,0,0.49999999999999994,0.8660254037844387
2022-01-04,96.67,8000.0,10.2,0.0,5.0,1020.6,0.0,117.47,119.0,0,96.67,False,False,False,True,6.03,4,1,1,0,0.49999999999999994,0.8660254037844387
2022-01-05,86.67,32500.0,11.0,0.0,5.8,1020.6,0.0,117.55,119.0,0,86.67,False,False,False,True,6.03,5,1,2,0,0.49999999999999994,0.8660254037844387
2022-01-06,96.67,11250.0,12.0,0.0,7.0,1020.3,0.0,117.42,119.0,0,96.67,False,False,False,True,6.03,6,1,3,0,0.49999999999999994,0.8660254037844387
2022-01-07,96.67,32500.0,12.4,0.0,4.7,1021.5,0.0,117.59,119.0,0,96.67,False,False,False,True,6.03,7,1,4,0,0.49999999999999994,0.8660254037844387
2022-01-08,76.67,0.0,12.3,0.0,4.3,1021.3,0.0,116.81,119.0,0,76.67,False,False,False,True,6.03,8,1,5,1,0.49999999999999994,0.8660254037844387
2022-01-09,75.0,34500.0,12.3,0.0,5.3,1018.9,0.0,116.81,119.0,0,75.0,False,False,False,True,6.03,9,1,6,1,0.49999999999999994,0.8660254037844387
2022-01-10,76.67,14000.0,12.4,0.0,6.7,1019.7,0.0,116.81,119.0,0,76.67,False,False,False,True,6.03,10,1,0,0,0.49999999999999994,0.8660254037844387
2022-01-11,76.67,25000.0,11.8,0.0,4.8,1019.6,0.0,117.02,119.0,0,76.67,False,False,False,True,6.03,11,1,1,0,0.49999999999999994,0.8660254037844387
2022-01-12,76.67,12000.0,10.3,0.0,6.1,1018.9,0.0,116.72,119.0,0,76.67,False,False,False,True,6.03,12,1,2,0,0.49999999999999994,0.8660254037844387
2022-01-13,76.67,12000.0,9.5,3.0,6.2,1018.8,0.0,116.88,119.0,0,76.67,False,False,False,True,6.03,13,1,3,0,0.49999999999999994,0.8660254037844387
