Date,Average_Price,Supply_Volume,Temperature,Precipitation,Wind_Speed,Air_Pressure,Rainfall_MM,USD_TO_NPR,Diesel,is_festival,imported_tomato_price,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,day,month,day_of_week,is_weekend,month_sin,month_cos,Average_Price_lag1,Average_Price_lag7,Average_Price_lag30,Average_Price_rollmean_7,Average_Price_rollmean_30,Average_Price_rollmean_90,Supply_Volume_rollmean_7,Supply_Volume_rollmean_30,Supply_Volume_rollmean_90,imported_tomato_price_rollmean_7,imported_tomato_price_rollmean_30,imported_tomato_price_rollmean_90
2022-03-31,55.0,107060.0,20.5,0.0,9.8,1014.3,0.0,119.96,138.0,0,56.67,False,False,True,False,7.14,31,3,3,0,1.0,6.123233995736766e-17,55.0,67.5,66.67,60.0,59.451,68.48522222222222,87601.07142857143,76907.96666666666,43906.76666666667,61.191428571428574,59.65092431830829,68.01094954553886
2022-04-01,56.67,110200.0,20.8,0.0,7.1,1014.3,0.0,119.47,138.0,0,55.0,False,False,True,False,7.61,1,4,4,0,0.8660254037844387,-0.4999999999999998,55.0,65.0,56.67,58.81,59.451,67.83711111111111,76783.92857142857,78487.96666666666,45131.21111111111,59.76285714285715,59.595257651641624,67.49983843442776
2022-04-02,56.67,106650.0,21.8,0.0,9.8,1016.2,0.0,120.21,138.0,0,56.67,False,False,True,False,7.61,2,4,5,1,0.8660254037844387,-0.4999999999999998,56.67,65.0,56.67,57.620000000000005,59.451,67.18900000000001,79739.64285714286,81251.3,46227.322222222225,58.57285714285714,59.59525765164163,66.85172732331664
2022-04-03,55.0,141475.0,22.2,0.0,8.5,1015.4,0.0,120.21,138.0,0,55.0,False,False,True,False,7.61,3,4,6,1,0.8660254037844387,-0.4999999999999998,56.67,65.0,60.84,56.191428571428574,59.25633333333333,66.74455555555556,91403.92857142857,84780.46666666666,47550.65555555555,57.144285714285715,59.13966666666667,66.4072828788722
2022-04-04,55.0,105025.0,22.0,0.0,11.0,1014.9,0.0,120.21,138.0,0,55.0,False,False,True,False,7.61,4,4,0,0,0.8660254037844387,-0.4999999999999998,55.0,60.0,65.0,55.47714285714286,58.922999999999995,66.28155555555556,98884.28571428571,86699.63333333333,48628.71111111111,55.47714285714286,58.806333333333335,65.9442828788722
2022-04-05,55.0,72750.0,22.3,0.0,9.4,1018.4,0.0,119.26,143.0,0,55.0,False,False,True,False,7.61,5,4,1,0,0.8660254037844387,-0.4999999999999998,55.0,55.0,65.0,55.47714285714286,58.58966666666666,65.92966666666666,102777.14285714286,86943.8,49075.933333333334,55.47714285714286,58.473,65.59239398998331
2022-04-06,65.0,80900.0,22.2,0.0,11.0,1018.6,0.0,118.93,143.0,0,65.0,False,False,True,False,7.61,6,4,2,0,0.8660254037844387,-0.4999999999999998,55.0,55.0,65.0,56.90571428571429,58.58966666666666,65.57777777777778,103437.14285714286,86818.8,49849.822222222225,56.90571428571429,58.473,65.24050510109441
2022-04-07,65.0,125650.0,21.5,0.0,10.0,1017.7,0.0,119.66,143.0,0,65.0,False,False,True,False,7.61,7,4,3,0,0.8660254037844387,-0.4999999999999998,65.0,55.0,55.0,58.33428571428572,58.922999999999995,65.22588888888889,106092.85714285714,89574.63333333333,50884.822222222225,58.09571428571428,58.806333333333335,64.88861621220553
2022-04-08,65.0,78285.0,21.9,0.0,9.8,1016.0,0.0,119.93,143.0,0,65.0,False,False,True,False,7.61,8,4,4,0,0.8660254037844387,-0.4999999999999998,65.0,56.67,56.67,59.52428571428572,59.20066666666666,65.09622222222222,101533.57142857143,89452.46666666666,51754.65555555555,59.52428571428571,59.083999999999996,64.75894954553885
2022-04-09,65.0,72385.0,20.2,1.0,6.5,1014.5,0.0,119.82,143.0,0,65.0,False,False,True,False,7.61,9,4,5,1,0.8660254037844387,-0.4999999999999998,65.0,56.67,56.67,60.714285714285715,59.47833333333333,64.98511111111111,96638.57142857143,89675.3,52175.6,60.714285714285715,59.69500000000001,64.64783843442775
