Date,Average_Price,Supply_Volume,USD_TO_NPR,Diesel,Inflation,Kathmandu_Temperature,Kathmandu_Rainfall_MM,Sarlahi_Temperature,Sarlahi_Rainfall_MM,Hilly_Temperature,Hilly_Rainfall_MM,day,month,day_of_week,is_weekend,month_sin,month_cos,Season_Winter,Season_Spring,Season_Monsoon,Season_Autumn,is_festival
2022-01-01,86.67,96650.0,119.24,119.0,6.03,10.35,0.0,15.05,0.0,7.725,0.0,1,1,5,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0
2022-01-02,108.0,142555.0,119.24,119.0,6.03,9.35,0.2,14.45,0.0,8.025,0.0,2,1,6,0,0.49999999999999994,0.8660254037844387,1,0,0,0,0
2022-01-03,115.0,132175.0,119.24,119.0,6.03,11.0,0.0,14.3,0.0,8.4,0.0,3,1,0,0,0.49999999999999994,0.8660254037844387,1,0,0,0,0
2022-01-04,95.0,122675.0,119.12,119.0,6.03,11.45,0.0,13.95,0.0,8.575,0.0,4,1,1,0,0.49999999999999994,0.8660254037844387,1,0,0,0,0
2022-01-05,96.67,118475.0,119.59,119.0,6.03,11.1,0.0,14.65,0.0,9.275,0.0,5,1,2,0,0.49999999999999994,0.8660254037844387,1,0,0,0,0
2022-01-06,86.67,135350.0,119.28,119.0,6.03,12.0,2.0,15.35,1.8,9.9,2.05,6,1,3,0,0.49999999999999994,0.8660254037844387,1,0,0,0,0
2022-01-07,96.67,81375.0,119.49,119.0,6.03,13.05,0.3,16.3,0.1,10.9,0.15,7,1,4,0,0.49999999999999994,0.8660254037844387,1,0,0,0,0
2022-01-08,96.67,119750.0,119.2,119.0,6.03,12.6,2.2,16.45,0.0,11.05,1.55,8,1,5,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0
2022-01-09,76.67,88300.0,119.2,119.0,6.03,13.0,0.0,16.15,0.0,10.975000000000001,0.05,9,1,6,0,0.49999999999999994,0.8660254037844387,1,0,0,0,0
2022-01-10,75.0,174700.0,119.2,119.0,6.03,12.2,0.7,17.05,0.0,10.5,1.8499999999999999,10,1,0,0,0.49999999999999994,0.8660254037844387,1,0,0,0,0
