Date,usd_sell
1/1/2022,119.24
1/2/2022,119.24
1/3/2022,119.24
1/4/2022,119.12
1/5/2022,119.59
1/6/2022,119.28
1/7/2022,119.49
1/8/2022,119.2
1/9/2022,119.2
1/10/2022,119.2
1/11/2022,118.77
1/12/2022,118.56
1/13/2022,118.56
1/14/2022,118.52
1/15/2022,118.95
1/16/2022,118.95
1/17/2022,118.95
1/18/2022,119.09
1/19/2022,119.62
1/20/2022,119.39
1/21/2022,119.51
1/22/2022,119.37
1/23/2022,119.37
1/24/2022,119.37
1/25/2022,119.6
1/26/2022,119.95
1/27/2022,119.95
1/28/2022,120.42
1/29/2022,120.37
1/30/2022,120.37
1/31/2022,120.37
2/1/2022,119.68
2/2/2022,119.97
2/3/2022,120.05
2/4/2022,120.08
2/5/2022,119.82
2/6/2022,119.82
2/7/2022,119.82
2/8/2022,119.82
2/9/2022,119.9
2/10/2022,120
2/11/2022,120.21
2/12/2022,120.92
2/13/2022,120.92
2/14/2022,120.92
2/15/2022,121.28
2/16/2022,120.84
2/17/2022,120.42
2/18/2022,120.48
2/19/2022,119.76
2/20/2022,119.76
2/21/2022,119.76
2/22/2022,119.52
2/23/2022,120.11
2/24/2022,119.6
2/25/2022,121.35
2/26/2022,120.77
2/27/2022,120.77
2/28/2022,120.77
3/1/2022,120.85
3/2/2022,120.85
3/3/2022,121.43
3/4/2022,121.76
3/5/2022,122.16
3/6/2022,122.16
3/7/2022,122.16
3/8/2022,123.44
3/9/2022,123.36
3/10/2022,122.8
3/11/2022,122.4
3/12/2022,122.85
3/13/2022,122.85
3/14/2022,122.85
3/15/2022,122.8
3/16/2022,122.88
3/17/2022,122.33
3/18/2022,121.58
3/19/2022,121.58
3/20/2022,121.58
3/21/2022,121.58
3/22/2022,122.09
3/23/2022,122.19
3/24/2022,122.39
3/25/2022,122.49
3/26/2022,122.22
3/27/2022,122.22
3/28/2022,122.22
3/29/2022,122.16
3/30/2022,121.88
3/31/2022,121.76
4/1/2022,121.57
4/2/2022,121.57
4/3/2022,121.57
4/4/2022,121.57
4/5/2022,121.18
4/6/2022,120.88
4/7/2022,121.52
4/8/2022,121.84
4/9/2022,121.74
4/10/2022,121.74
4/11/2022,121.74
4/12/2022,121.83
4/13/2022,122.12
4/14/2022,122.19
4/15/2022,122.19
4/16/2022,122.19
4/17/2022,122.19
4/18/2022,122.19
4/19/2022,122.32
4/20/2022,122.72
4/21/2022,122.24
4/22/2022,122.14
4/23/2022,122.68
4/24/2022,122.68
4/25/2022,122.68
4/26/2022,123.01
4/27/2022,122.84
4/28/2022,122.76
4/29/2022,122.68
4/30/2022,122.59
5/1/2022,122.59
5/2/2022,122.59
5/3/2022,122.73
5/4/2022,122.73
5/5/2022,122.57
5/6/2022,122.32
5/7/2022,123.37
5/8/2022,123.37
5/9/2022,123.37
5/10/2022,124.25
5/11/2022,124.04
5/12/2022,123.89
5/13/2022,124.17
5/14/2022,124.23
5/15/2022,124.23
5/16/2022,124.23
5/17/2022,124.23
5/18/2022,124.41
5/19/2022,124.44
5/20/2022,124.67
5/21/2022,124.38
5/22/2022,124.38
5/23/2022,124.38
5/24/2022,124.33
5/25/2022,124.44
5/26/2022,124.35
5/27/2022,124.43
5/28/2022,124.41
5/29/2022,124.41
5/30/2022,124.41
5/31/2022,124.37
6/1/2022,124.53
6/2/2022,124.34
6/3/2022,124.48
6/4/2022,124.5
6/5/2022,124.5
6/6/2022,124.5
6/7/2022,124.52
6/8/2022,124.64
6/9/2022,124.68
6/10/2022,124.73
6/11/2022,124.84
6/12/2022,124.84
6/13/2022,124.84
6/14/2022,125.16
6/15/2022,125.08
6/16/2022,125.21
6/17/2022,125.22
6/18/2022,125.22
6/19/2022,125.22
6/20/2022,125.22
6/21/2022,125.07
6/22/2022,125.22
6/23/2022,125.72
6/24/2022,125.59
6/25/2022,125.66
6/26/2022,125.66
6/27/2022,125.66
6/28/2022,125.65
6/29/2022,126.34
6/30/2022,126.65
7/1/2022,126.66
7/2/2022,126.78
7/3/2022,126.78
7/4/2022,126.78
7/5/2022,126.63
7/6/2022,127.3
7/7/2022,127.19
7/8/2022,126.99
7/9/2022,127.11
7/10/2022,127.11
7/11/2022,127.11
7/12/2022,127.41
7/13/2022,127.66
7/14/2022,127.72
7/15/2022,128.11
7/16/2022,128.11
7/17/2022,128.11
7/18/2022,128.11
7/19/2022,128.26
7/20/2022,128.21
7/21/2022,128.29
7/22/2022,128.22
7/23/2022,128.08
7/24/2022,128.08
7/25/2022,128.08
7/26/2022,127.88
7/27/2022,127.96
7/28/2022,128.14
7/29/2022,127.92
7/30/2022,127.11
7/31/2022,127.11
8/1/2022,127.11
8/2/2022,126.74
8/3/2022,126.25
8/4/2022,126.96
8/5/2022,127.45
8/6/2022,127.08
8/7/2022,127.08
8/8/2022,127.08
8/9/2022,127.76
8/10/2022,127.76
8/11/2022,127.54
8/12/2022,127.72
8/13/2022,127.76
8/14/2022,127.76
8/15/2022,127.76
8/16/2022,127.76
8/17/2022,127.76
8/18/2022,127.42
8/19/2022,127.78
8/20/2022,127.95
8/21/2022,127.95
8/22/2022,127.95
8/23/2022,128.1
8/24/2022,128.09
8/25/2022,128
8/26/2022,128.12
8/27/2022,128.09
8/28/2022,128.09
8/29/2022,128.09
8/30/2022,128.25
8/31/2022,127.43
9/1/2022,127.43
9/2/2022,127.6
9/3/2022,127.98
9/4/2022,127.98
9/5/2022,127.98
9/6/2022,128.06
9/7/2022,128.04
9/8/2022,128.15
9/9/2022,127.84
9/10/2022,127.64
9/11/2022,127.64
9/12/2022,127.64
9/13/2022,127.54
9/14/2022,126.94
9/15/2022,127.41
9/16/2022,127.82
9/17/2022,127.89
9/18/2022,127.89
9/19/2022,127.89
9/20/2022,127.94
9/21/2022,127.91
9/22/2022,128.27
9/23/2022,129.68
9/24/2022,129.89
9/25/2022,129.89
9/26/2022,129.89
9/27/2022,130.9
9/28/2022,130.84
9/29/2022,131.41
9/30/2022,131.28
10/1/2022,130.45
10/2/2022,130.45
10/3/2022,130.45
10/4/2022,131.3
10/5/2022,130.74
10/6/2022,130.74
10/7/2022,131.32
10/8/2022,132.02
10/9/2022,132.02
10/10/2022,132.02
10/11/2022,132.02
10/12/2022,132.01
10/13/2022,132.01
10/14/2022,132.06
10/15/2022,132.07
10/16/2022,132.07
10/17/2022,132.07
10/18/2022,132.07
10/19/2022,132.08
10/20/2022,133.14
10/21/2022,132.72
10/22/2022,132.59
10/23/2022,132.59
10/24/2022,132.59
10/25/2022,132.59
10/26/2022,132.67
10/27/2022,132.67
10/28/2022,132.29
10/29/2022,132.26
10/30/2022,132.26
10/31/2022,132.26
11/1/2022,132.76
11/2/2022,132.62
11/3/2022,132.76
11/4/2022,132.92
11/5/2022,132.21
11/6/2022,132.21
11/7/2022,132.21
11/8/2022,131.38
11/9/2022,131.38
11/10/2022,130.6
11/11/2022,131.2
11/12/2022,129.58
11/13/2022,129.58
11/14/2022,129.58
11/15/2022,130.32
11/16/2022,130.06
11/17/2022,130.38
11/18/2022,130.95
11/19/2022,131
11/20/2022,131
11/21/2022,131
11/22/2022,131.25
11/23/2022,130.97
11/24/2022,131.26
11/25/2022,130.92
11/26/2022,131
11/27/2022,131
11/28/2022,131
11/29/2022,130.98
11/30/2022,131.06
12/1/2022,130.58
12/2/2022,130.25
12/3/2022,130.42
12/4/2022,130.42
12/5/2022,130.42
12/6/2022,131.17
12/7/2022,132.49
12/8/2022,132.26
12/9/2022,132.18
12/10/2022,131.94
12/11/2022,131.94
12/12/2022,131.94
12/13/2022,132.36
12/14/2022,132.8
12/15/2022,132.24
12/16/2022,132.72
12/17/2022,132.9
12/18/2022,132.9
12/19/2022,132.9
12/20/2022,132.64
12/21/2022,132.72
12/22/2022,132.8
12/23/2022,132.73
12/24/2022,132.88
12/25/2022,132.88
12/26/2022,132.88
12/27/2022,132.55
12/28/2022,132.86
12/29/2022,132.88
12/30/2022,132.78
12/31/2022,132.66
1/1/2023,132.66
1/2/2023,132.66
1/3/2023,132.69
1/4/2023,132.92
1/5/2023,132.79
1/6/2023,132.4
1/7/2023,132.66
1/8/2023,132.66
1/9/2023,132.66
1/10/2023,132.08
1/11/2023,131.16
1/12/2023,130.83
1/13/2023,130.79
1/14/2023,130.43
1/15/2023,130.43
1/16/2023,130.43
1/17/2023,130.89
1/18/2023,131.12
1/19/2023,130.29
1/20/2023,130.48
1/21/2023,130.1
1/22/2023,130.1
1/23/2023,130.1
1/24/2023,130.53
1/25/2023,131.06
1/26/2023,130.85
1/27/2023,130.85
1/28/2023,130.74
1/29/2023,130.74
1/30/2023,130.74
1/31/2023,130.7
2/1/2023,131.38
2/2/2023,131.38
2/3/2023,131.78
2/4/2023,131.23
2/5/2023,131.23
2/6/2023,131.23
2/7/2023,132.67
2/8/2023,132.63
2/9/2023,132.3
2/10/2023,132.32
2/11/2023,132.3
2/12/2023,132.3
2/13/2023,132.3
2/14/2023,132.66
2/15/2023,132.72
2/16/2023,132.79
2/17/2023,132.66
2/18/2023,132.84
2/19/2023,132.84
2/20/2023,132.84
2/21/2023,132.66
2/22/2023,132.77
2/23/2023,132.87
2/24/2023,132.68
2/25/2023,132.71
2/26/2023,132.71
2/27/2023,132.71
2/28/2023,132.84
3/1/2023,132.57
3/2/2023,132.31
3/3/2023,132.46
3/4/2023,131.45
3/5/2023,131.45
3/6/2023,131.45
3/7/2023,131.36
3/8/2023,131.36
3/9/2023,131.6
3/10/2023,131.47
3/11/2023,131.57
3/12/2023,131.57
3/13/2023,131.57
3/14/2023,131.7
3/15/2023,132.29
3/16/2023,132.46
3/17/2023,132.68
3/18/2023,132.39
3/19/2023,132.39
3/20/2023,132.39
3/21/2023,132.52
3/22/2023,132.56
3/23/2023,132.56
3/24/2023,131.93
3/25/2023,132.28
3/26/2023,132.28
3/27/2023,132.28
3/28/2023,132.1
3/29/2023,131.81
3/30/2023,132.05
3/31/2023,132.05
4/1/2023,131.77
4/2/2023,131.77
4/3/2023,131.77
4/4/2023,132.04
4/5/2023,132.04
4/6/2023,131.51
4/7/2023,131.32
4/8/2023,131.32
4/9/2023,131.32
4/10/2023,131.32
4/11/2023,131.48
4/12/2023,131.71
4/13/2023,131.63
4/14/2023,131.27
4/15/2023,131.27
4/16/2023,131.27
4/17/2023,131.27
4/18/2023,131.46
4/19/2023,131.57
4/20/2023,131.87
4/21/2023,131.74
4/22/2023,131.65
4/23/2023,131.65
4/24/2023,131.65
4/25/2023,131.36
4/26/2023,131.37
4/27/2023,131.13
4/28/2023,131.25
4/29/2023,131.23
4/30/2023,131.23
5/1/2023,131.23
5/2/2023,131.23
5/3/2023,131.32
5/4/2023,131.22
5/5/2023,131.19
5/6/2023,131.19
5/7/2023,131.19
5/8/2023,131.19
5/9/2023,131.18
5/10/2023,131.57
5/11/2023,131.48
5/12/2023,131.65
5/13/2023,131.77
5/14/2023,131.77
5/15/2023,131.77
5/16/2023,131.98
5/17/2023,131.84
5/18/2023,132.12
5/19/2023,132.47
5/20/2023,132.56
5/21/2023,132.56
5/22/2023,132.56
5/23/2023,132.83
5/24/2023,132.79
5/25/2023,132.56
5/26/2023,132.69
5/27/2023,132.43
5/28/2023,132.43
5/29/2023,132.43
5/30/2023,132.51
5/31/2023,132.64
6/1/2023,132.66
6/2/2023,132.16
6/3/2023,132
6/4/2023,132
6/5/2023,132
6/6/2023,132.58
6/7/2023,132.48
6/8/2023,132.38
6/9/2023,132.41
6/10/2023,132.25
6/11/2023,132.25
6/12/2023,132.25
6/13/2023,132.2
6/14/2023,132.1
6/15/2023,131.66
6/16/2023,131.79
6/17/2023,131.4
6/18/2023,131.4
6/19/2023,131.4
6/20/2023,131.4
6/21/2023,131.7
6/22/2023,131.57
6/23/2023,131.43
6/24/2023,131.56
6/25/2023,131.56
6/26/2023,131.56
6/27/2023,131.57
6/28/2023,131.55
6/29/2023,131.6
6/30/2023,131.6
7/1/2023,131.57
7/2/2023,131.57
7/3/2023,131.57
7/4/2023,131.44
7/5/2023,131.54
7/6/2023,131.87
7/7/2023,132.32
7/8/2023,132.69
7/9/2023,132.69
7/10/2023,132.69
7/11/2023,132.41
7/12/2023,132.09
7/13/2023,131.9
7/14/2023,131.62
7/15/2023,131.77
7/16/2023,131.77
7/17/2023,131.77
7/18/2023,131.57
7/19/2023,131.56
7/20/2023,131.66
7/21/2023,131.48
7/22/2023,131.42
7/23/2023,131.42
7/24/2023,131.42
7/25/2023,131.21
7/26/2023,131.3
7/27/2023,131.5
7/28/2023,131.4
7/29/2023,131.9
7/30/2023,131.9
7/31/2023,131.9
8/1/2023,131.9
8/2/2023,131.92
8/3/2023,132.44
8/4/2023,132.66
8/5/2023,132.85
8/6/2023,132.85
8/7/2023,132.85
8/8/2023,132.7
8/9/2023,132.83
8/10/2023,132.81
8/11/2023,132.65
8/12/2023,132.86
8/13/2023,132.86
8/14/2023,132.86
8/15/2023,133.03
8/16/2023,133.03
8/17/2023,133.03
8/18/2023,133.34
8/19/2023,133.27
8/20/2023,133.27
8/21/2023,133.27
8/22/2023,133.28
8/23/2023,133
8/24/2023,132.6
8/25/2023,132.42
8/26/2023,132.54
8/27/2023,132.54
8/28/2023,132.54
8/29/2023,132.52
8/30/2023,132.64
8/31/2023,132.68
9/1/2023,132.76
9/2/2023,132.65
9/3/2023,132.65
9/4/2023,132.65
9/5/2023,132.7
9/6/2023,133.17
9/7/2023,133.32
9/8/2023,133.44
9/9/2023,133.02
9/10/2023,133.02
9/11/2023,133.02
9/12/2023,133.16
9/13/2023,132.98
9/14/2023,133.08
9/15/2023,133.16
9/16/2023,133.4
9/17/2023,133.4
9/18/2023,133.4
9/19/2023,133.54
9/20/2023,133.54
9/21/2023,133.22
9/22/2023,133.25
9/23/2023,133
9/24/2023,133
9/25/2023,133
9/26/2023,133.34
9/27/2023,133.48
9/28/2023,133.46
9/29/2023,133.4
9/30/2023,133.17
10/1/2023,133.17
10/2/2023,133.17
10/3/2023,133.17
10/4/2023,133.44
10/5/2023,133.49
10/6/2023,133.51
10/7/2023,133.5
10/8/2023,133.5
10/9/2023,133.5
10/10/2023,133.53
10/11/2023,133.5
10/12/2023,133.41
10/13/2023,133.5
10/14/2023,133.53
10/15/2023,133.53
10/16/2023,133.53
10/17/2023,133.55
10/18/2023,133.52
10/19/2023,133.52
10/20/2023,133.5
10/21/2023,133.3
10/22/2023,133.3
10/23/2023,133.3
10/24/2023,133.42
10/25/2023,133.42
10/26/2023,133.4
10/27/2023,133.48
10/28/2023,133.5
10/29/2023,133.5
10/30/2023,133.5
10/31/2023,133.51
11/1/2023,133.51
11/2/2023,133.57
11/3/2023,133.5
11/4/2023,133.56
11/5/2023,133.56
11/6/2023,133.56
11/7/2023,133.45
11/8/2023,133.52
11/9/2023,133.54
11/10/2023,133.56
11/11/2023,133.65
11/12/2023,133.65
11/13/2023,133.65
11/14/2023,133.64
11/15/2023,133.64
11/16/2023,133.34
11/17/2023,133.48
11/18/2023,133.54
11/19/2023,133.54
11/20/2023,133.54
11/21/2023,133.65
11/22/2023,133.68
11/23/2023,133.62
11/24/2023,133.66
11/25/2023,133.7
11/26/2023,133.7
11/27/2023,133.7
11/28/2023,133.7
11/29/2023,133.64
11/30/2023,133.63
12/1/2023,133.74
12/2/2023,133.57
12/3/2023,133.57
12/4/2023,133.57
12/5/2023,133.69
12/6/2023,133.72
12/7/2023,133.63
12/8/2023,133.67
12/9/2023,133.72
12/10/2023,133.72
12/11/2023,133.72
12/12/2023,133.74
12/13/2023,133.73
12/14/2023,133.75
12/15/2023,133.64
12/16/2023,133.11
12/17/2023,133.11
12/18/2023,133.11
12/19/2023,133.2
12/20/2023,133.4
12/21/2023,133.38
12/22/2023,133.55
12/23/2023,133.33
12/24/2023,133.33
12/25/2023,133.33
12/26/2023,133.33
12/27/2023,133.42
12/28/2023,133.66
12/29/2023,133.37
12/30/2023,133.44
12/31/2023,133.44
1/1/2024,133.44
1/2/2024,133.49
1/3/2024,133.62
1/4/2024,133.55
1/5/2024,133.48
1/6/2024,133.35
1/7/2024,133.35
1/8/2024,133.35
1/9/2024,133.33
1/10/2024,133.29
1/11/2024,133.16
1/12/2024,133.15
1/13/2024,132.98
1/14/2024,132.98
1/15/2024,132.98
1/16/2024,132.92
1/17/2024,133.22
1/18/2024,133.33
1/19/2024,133.3
1/20/2024,133.21
1/21/2024,133.21
1/22/2024,133.21
1/23/2024,133.21
1/24/2024,133.35
1/25/2024,133.3
1/26/2024,133.29
1/27/2024,133.29
1/28/2024,133.29
1/29/2024,133.29
1/30/2024,133.32
1/31/2024,133.28
2/1/2024,133.18
2/2/2024,133.05
2/3/2024,132.98
2/4/2024,132.98
2/5/2024,132.98
2/6/2024,133.2
2/7/2024,133.2
2/8/2024,133.06
2/9/2024,133.04
2/10/2024,133.16
2/11/2024,133.16
2/12/2024,133.16
2/13/2024,133.11
2/14/2024,133.11
2/15/2024,133.16
2/16/2024,133.18
2/17/2024,133.13
2/18/2024,133.13
2/19/2024,133.13
2/20/2024,133.13
2/21/2024,133.05
2/22/2024,133.06
2/23/2024,132.85
2/24/2024,133.01
2/25/2024,133.01
2/26/2024,133.01
2/27/2024,132.93
2/28/2024,132.94
2/29/2024,132.98
3/1/2024,132.97
3/2/2024,132.95
3/3/2024,132.95
3/4/2024,132.95
3/5/2024,132.93
3/6/2024,132.94
3/7/2024,132.82
3/8/2024,132.76
3/9/2024,132.76
3/10/2024,132.76
3/11/2024,132.76
3/12/2024,132.72
3/13/2024,132.74
3/14/2024,132.89
3/15/2024,132.82
3/16/2024,132.91
3/17/2024,132.91
3/18/2024,132.91
3/19/2024,132.96
3/20/2024,133.16
3/21/2024,133.36
3/22/2024,133.34
3/23/2024,133.79
3/24/2024,133.79
3/25/2024,133.79
3/26/2024,133.79
3/27/2024,133.56
3/28/2024,133.7
3/29/2024,133.75
3/30/2024,133.75
3/31/2024,133.75
4/1/2024,133.75
4/2/2024,133.75
4/3/2024,133.72
4/4/2024,133.8
4/5/2024,133.81
4/6/2024,133.58
4/7/2024,133.58
4/8/2024,133.58
4/9/2024,133.61
4/10/2024,133.61
4/11/2024,133.4
4/12/2024,133.4
4/13/2024,133.77
4/14/2024,133.77
4/15/2024,133.77
4/16/2024,133.83
4/17/2024,133.96
4/18/2024,133.96
4/19/2024,133.97
4/20/2024,133.86
4/21/2024,133.86
4/22/2024,133.86
4/23/2024,133.69
4/24/2024,133.66
4/25/2024,133.62
4/26/2024,133.61
4/27/2024,133.65
4/28/2024,133.65
4/29/2024,133.65
4/30/2024,133.86
5/1/2024,133.79
5/2/2024,133.79
5/3/2024,133.86
5/4/2024,133.78
5/5/2024,133.78
5/6/2024,133.78
5/7/2024,133.89
5/8/2024,133.92
5/9/2024,133.94
5/10/2024,133.91
5/11/2024,133.91
5/12/2024,133.91
5/13/2024,133.91
5/14/2024,133.96
5/15/2024,133.92
5/16/2024,133.91
5/17/2024,133.91
5/18/2024,133.64
5/19/2024,133.64
5/20/2024,133.64
5/21/2024,133.64
5/22/2024,133.6
5/23/2024,133.56
5/24/2024,133.56
5/25/2024,133.26
5/26/2024,133.26
5/27/2024,133.26
5/28/2024,133.32
5/29/2024,133.39
5/30/2024,133.66
5/31/2024,133.62
6/1/2024,133.85
6/2/2024,133.85
6/3/2024,133.85
6/4/2024,133.34
6/5/2024,133.96
6/6/2024,133.7
6/7/2024,133.86
6/8/2024,133.7
6/9/2024,133.7
6/10/2024,133.7
6/11/2024,133.92
6/12/2024,134.01
6/13/2024,133.98
6/14/2024,133.98
6/15/2024,134
6/16/2024,134
6/17/2024,134
6/18/2024,134
6/19/2024,133.76
6/20/2024,133.84
6/21/2024,134.15
6/22/2024,133.96
6/23/2024,133.96
6/24/2024,133.96
6/25/2024,133.84
6/26/2024,133.8
6/27/2024,134.02
6/28/2024,133.84
6/29/2024,133.72
6/30/2024,133.72
7/1/2024,133.72
7/2/2024,133.81
7/3/2024,133.92
7/4/2024,133.96
7/5/2024,133.9
7/6/2024,133.88
7/7/2024,133.88
7/8/2024,133.88
7/9/2024,133.9
7/10/2024,133.88
7/11/2024,133.94
7/12/2024,134
7/13/2024,133.96
7/14/2024,133.96
7/15/2024,133.96
7/16/2024,134.06
7/17/2024,134.04
7/18/2024,134.04
7/19/2024,134.15
7/20/2024,134.17
7/21/2024,134.17
7/22/2024,134.17
7/23/2024,134.16
7/24/2024,134.21
7/25/2024,134.26
7/26/2024,134.22
7/27/2024,134.27
7/28/2024,134.27
7/29/2024,134.27
7/30/2024,134.27
7/31/2024,134.27
8/1/2024,134.26
8/2/2024,134.26
8/3/2024,134.31
8/4/2024,134.31
8/5/2024,134.31
8/6/2024,134.46
8/7/2024,134.63
8/8/2024,134.64
8/9/2024,134.65
8/10/2024,134.64
8/11/2024,134.64
8/12/2024,134.64
8/13/2024,134.66
8/14/2024,134.66
8/15/2024,134.62
8/16/2024,134.62
8/17/2024,134.61
8/18/2024,134.61
8/19/2024,134.61
8/20/2024,134.5
8/21/2024,134.38
8/22/2024,134.58
8/23/2024,134.63
8/24/2024,134.53
8/25/2024,134.53
8/26/2024,134.53
8/27/2024,134.55
8/28/2024,134.59
8/29/2024,134.63
8/30/2024,134.5
8/31/2024,134.49
9/1/2024,134.49
9/2/2024,134.49
9/3/2024,134.58
9/4/2024,134.66
9/5/2024,134.65
9/6/2024,134.68
9/7/2024,134.62
9/8/2024,134.62
9/9/2024,134.62
9/10/2024,134.64
9/11/2024,134.67
9/12/2024,134.67
9/13/2024,134.65
9/14/2024,134.53
9/15/2024,134.53
9/16/2024,134.53
9/17/2024,134.53
9/18/2024,134.31
9/19/2024,134.31
9/20/2024,134.2
9/21/2024,134.01
9/22/2024,134.01
9/23/2024,134.01
9/24/2024,133.99
9/25/2024,134.18
9/26/2024,134.06
9/27/2024,134.14
9/28/2024,134.23
9/29/2024,134.23
9/30/2024,134.23
10/1/2024,134.38
10/2/2024,134.42
10/3/2024,134.42
10/4/2024,134.66
10/5/2024,134.66
10/6/2024,134.66
10/7/2024,134.66
10/8/2024,134.67
10/9/2024,134.65
10/10/2024,134.65
10/11/2024,134.66
10/12/2024,134.8
10/13/2024,134.8
10/14/2024,134.8
10/15/2024,134.8
10/16/2024,134.77
10/17/2024,134.7
10/18/2024,134.82
10/19/2024,134.81
10/20/2024,134.81
10/21/2024,134.81
10/22/2024,134.82
10/23/2024,134.83
10/24/2024,134.84
10/25/2024,134.83
10/26/2024,134.84
10/27/2024,134.84
10/28/2024,134.84
10/29/2024,134.83
