Date,Inflation
1/1/2022,6.03
2/1/2022,6.23
3/1/2022,7.14
4/1/2022,7.61
5/1/2022,7.04
6/1/2022,6.71
7/1/2022,6.71
8/1/2022,8.26
9/1/2022,8.64
10/1/2022,8.5
11/1/2022,8.08
12/1/2022,7.38
1/1/2023,7.26
2/1/2023,7.88
3/1/2023,7.44
4/1/2023,7.76
5/1/2023,7.41
6/1/2023,6.83
7/1/2023,7.44
8/1/2023,7.52
9/1/2023,8.19
10/1/2023,7.5
11/1/2023,5.38
12/1/2023,4.95
1/1/2024,5.26
2/1/2024,5.01
3/1/2024,4.82
4/1/2024,4.61
5/1/2024,4.4
6/1/2024,4.17
7/1/2024,3.57
8/1/2024,4.09
9/1/2024,3.86
10/1/2024,4.82
11/1/2024,5.6
12/1/2024,6.05
1/1/2025,5.41
2/1/2025,4.16
3/1/2025,3.75
4/1/2025,3.39
5/1/2025,2.77
6/1/2025,2.72
7/1/2025,2.2
8/1/2025,1.68
9/1/2025,1.87
