date,Dhading_Temperature,Dhading_Air_Pressure,Dhading_Wind_Speed,Dhading_Precipitation,Dhading_Rainfall_MM,Kathmandu_Temperature,Kathmandu_Air_Pressure,Kathmandu_Wind_Speed,Kathmandu_Precipitation,Kathmandu_Rainfall_MM,Kavre_Temperature,Kavre_Air_Pressure,Kavre_Wind_Speed,Kavre_Precipitation,Kavre_Rainfall_MM,Sarlahi_Temperature,Sarlahi_Air_Pressure,Sarlahi_Wind_Speed,Sarlahi_Precipitation,Sarlahi_Rainfall_MM
2022-01-01,6.95,854.0,6.9,0.0,0.0,10.35,874.8,7.5,0.0,0.0,8.5,851.7,6.4,0.0,0.0,15.05,1008.25,9.4,0.0,0.0
2022-01-02,7.15,853.5,8.0,0.0,0.0,9.35,873.6,8.4,0.2,0.2,8.9,850.7,6.4,0.0,0.0,14.45,1006.6,10.4,0.0,0.0
2022-01-03,7.45,851.55,6.6,0.0,0.0,11.0,872.35,9.4,0.0,0.0,9.35,849.7,6.1,0.0,0.0,14.3,1004.6,10.9,0.0,0.0
2022-01-04,7.35,851.3,6.6,0.0,0.0,11.45,872.6,6.9,0.0,0.0,9.8,849.7,6.5,0.0,0.0,13.95,1005.6,6.9,0.0,0.0
2022-01-05,9.15,852.85,7.0,0.0,0.0,11.1,872.6,6.5,0.0,0.0,9.4,849.15,7.4,0.0,0.0,14.65,1004.7,7.9,0.0,0.0
2022-01-06,9.4,852.95,6.0,1.9,1.9,12.0,873.3,7.9,2.0,2.0,10.4,850.1,6.3,2.2,2.2,15.35,1004.2,9.8,1.8,1.8
2022-01-07,10.5,853.35,8.7,0.0,0.0,13.05,873.6,7.7,0.3,0.3,11.3,850.6,5.3,0.3,0.3,16.3,1005.5,8.8,0.1,0.1
2022-01-08,10.6,853.6,6.1,1.1,1.1,12.6,873.9,5.5,2.2,2.2,11.5,850.7,6.5,2.0,2.0,16.45,1004.85,11.3,0.0,0.0
2022-01-09,10.8,851.45,7.7,0.0,0.0,13.0,871.2,7.4,0.0,0.0,11.15,848.05,5.8,0.1,0.1,16.15,1002.0,8.7,0.0,0.0
2022-01-10,10.7,852.55,8.6,0.4,0.4,12.2,872.05,6.2,0.7,0.7,10.3,848.8,7.2,3.3,3.3,17.05,1003.1,9.0,0.0,0.0
2022-01-11,9.55,852.5,7.7,0.0,0.0,12.15,872.35,6.4,0.0,0.0,10.45,849.2,7.6,0.7,0.7,17.55,1002.75,11.0,0.1,0.1
2022-01-12,8.35,850.9,8.1,3.8,3.8,11.15,871.35,6.8,6.4,6.4,8.45,847.9,9.0,1.5,1.5,16.4,1003.0,19.4,4.3,4.3
2022-01-13,7.05,851.2,6.8,0.0,0.0,8.05,870.7,7.2,0.0,0.0,7.25,847.45,6.9,3.1,3.1,15.2,1003.95,8.9,0.9,0.9
2022-01-14,6.75,851.05,7.1,0.0,0.0,9.5,871.1,7.2,0.0,0.0,7.7,847.9,6.1,0.0,0.0,14.3,1004.3,11.5,0.0,0.0
2022-01-15,6.9,851.1,7.9,0.0,0.0,8.9,871.1,7.7,0.3,0.3,7.7,847.8,5.7,0.2,0.2,13.45,1005.2,13.0,0.0,0.0
2022-01-16,6.5,851.85,6.3,0.0,0.0,9.25,871.8,7.3,0.0,0.0,7.85,848.75,7.4,0.0,0.0,14.1,1006.7,12.8,0.0,0.0
2022-01-17,8.35,853.25,7.1,0.0,0.0,11.55,873.7,7.0,0.0,0.0,9.25,850.5,6.9,0.0,0.0,13.8,1007.2,9.1,0.0,0.0
2022-01-18,7.85,851.3,7.3,0.0,0.0,11.65,872.4,7.0,0.0,0.0,10.05,849.3,6.6,0.9,0.9,13.45,1004.15,9.3,0.0,0.0
2022-01-19,8.5,849.95,7.6,0.0,0.0,11.2,870.7,10.6,0.0,0.0,8.9,847.25,6.9,0.0,0.0,13.5,1002.0,13.1,0.0,0.0
2022-01-20,7.1,847.4,5.2,0.3,0.3,9.35,867.85,6.5,1.3,1.3,7.25,844.65,7.7,0.7,0.7,13.3,1000.0,7.9,0.4,0.4
